"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
490,62,7677.53,7493.01,11121.6,2.51684
491,62,31439.3,9297.42,4006.6,5.89286
492,62,2110.41,9395.74,3599.27,6.48316
493,62,15344.7,10968.3,2446.9,9.21021
494,62,2201.04,13564.3,3204.7,7.19707
495,62,15830.6,14012.4,2590.8,8.73771
496,62,13765.2,14316.5,3970.05,5.94092
497,62,10601.9,16410.9,5533.81,4.44838
498,62,5801.67,17102.5,3177.43,7.25293
499,62,23744.8,17755.7,4366.36,5.46249
500,62,8489.52,18400,2067.42,10.7706
501,62,18399,18659.3,1885.8,11.739
502,62,1258.96,18995.6,7663.9,3.38663
503,62,22405.7,21234.7,1942.09,11.4196
504,62,42468.7,21631.4,2688.86,8.44461
505,62,39913.6,22021.8,5750.25,4.30517
506,62,49306.3,25203,3060.22,7.50427
507,62,37508.5,26914.9,4680.27,5.14059
508,62,47451.5,27231.8,3747.81,6.25313
509,62,45491.8,27433.7,3420.56,6.78623
510,62,25015.9,28006.3,2941.27,7.77973
511,62,29554.3,29532.4,2673.78,8.48831
512,62,21033.4,29850.3,1357.78,16.0226
513,62,32361.4,32492.9,5123.58,4.7526
514,62,3366.91,33840.2,3368.33,6.88082
515,62,35519.7,34093.8,2121.96,10.5121
516,62,24788.3,34730.5,3014.38,7.60786
517,62,43869.7,35006.7,2604.15,8.69653
518,62,23507.6,34913.8,5366.7,4.56675
519,62,48355.5,35043.1,3396.19,6.83001
520,62,46934.7,35280,4456.88,5.36506
521,62,2625.16,36088.1,3693.27,6.33546
522,62,1746.3,37345.3,1716.37,12.8268
523,62,4988.77,37633.9,3270.27,7.06657
524,62,5863.04,40421.2,3949.16,5.96878
525,62,3725.25,42319.9,3909.12,6.023
526,62,49621.3,42376,3016.12,7.60387
527,62,5854.42,44471,3374.14,6.87017
528,62,35670,45175,3476.26,6.68844
529,62,4055.02,45401.2,4007.77,5.89134
530,62,27255.9,45657.9,1978.06,11.2249
531,62,40460.4,46202.2,1893.93,11.6917
532,62,28271.6,47201.2,3619.58,6.45061
533,62,5952.96,48741.2,7842.04,3.32357
534,63,22416.4,784.402,6397.22,3.93413
535,63,6758.25,1123.54,5504.22,4.46882
536,63,36700.9,2230.66,3241.84,7.12251
537,63,33289.5,2419,3582.44,6.51042
538,63,9668.2,3493.13,2837.99,8.03756
539,63,38043.1,4245.64,4729.59,5.09386
540,63,43878.5,5424.27,3615.52,6.45709
541,63,32332.8,5494.1,4243.35,5.6015
542,63,12409.5,6900.59,3241.84,7.12251
543,63,7701.58,7523.73,10613.3,2.61005
544,63,31464,9310.29,4283.96,5.55472
545,63,2108.39,9401.93,3659.04,6.38838
546,63,15387.8,10968.8,2415.57,9.32053
547,63,2176.84,13525.8,3226.17,7.15376
548,63,15830,13988.6,2594.86,8.72513
549,63,13753.8,14304.7,3855.74,6.09704
550,63,10609.7,16444.6,5526.27,4.45357
551,63,5735.64,17120.3,3012.64,7.61186
552,63,23691.4,17764.5,4286.28,5.55208
553,63,8502.75,18403.7,2055.23,10.8302
554,63,18390.8,18675.4,1671.69,13.1503
555,63,1263.64,19008.9,7621.54,3.40204
556,63,22411.3,21249.9,1754.67,12.5626
557,63,42483.9,21625.5,2564.11,8.82136
558,63,39930.7,22012.7,5768.81,4.29337
559,63,49320.1,25196.9,2931.41,7.80358
560,63,37518.7,26924.7,4806.19,5.02318
561,63,47452.5,27206,3513.4,6.62497
562,63,45518.5,27407.4,3364.85,6.88723
563,63,25035.1,28000.5,2976.09,7.69684
564,63,29529.3,29539.2,2561.21,8.83056
565,63,21002.4,29897.8,1264.36,17.1525
566,63,32386.5,32441.7,5109.07,4.76424
567,63,3352.57,33863.4,3258.67,7.08928
568,63,35512.8,34082.3,2053.49,10.8388
569,63,24809.3,34706.9,2969.12,7.71327
570,63,43864.3,34993.7,2615.17,8.66282
571,63,23477.9,34938.6,5165.36,4.71943
572,63,48314.7,35029.8,3191.36,7.22429
573,63,46906.4,35267.7,4516.06,5.30344
574,63,2660.88,36088.8,3513.98,6.62398
575,63,1729.6,37333.7,1542.88,14.1877
576,63,4961.53,37645.6,3251.7,7.10299
577,63,5888.09,40411.7,3980.49,5.9271
578,63,3732.61,42337.3,3972.37,5.93784
579,63,49637.5,42362.4,2964.48,7.72426
580,63,5893.61,44478.9,3461.75,6.71361
